ufz_chemical_name	CAS_fixed	Inchikey	ScreeningMethod	class_1	class_2	class_3	MoA_broad	MoA_specific	molecular_target	sites_type	sites	MDL_ngL	unit	conc	Matrix
0016_Diuron	CASRN=330-54-1	XMTQQYYKAHVGBJ-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenylurea	Photosynthesis inhibition	Photosystem II inhibition	Photosystem II (Plastoquinone-binding protein)	Freshwater	M_T2	1	ngL	1.408255	Water
0016_Diuron	CASRN=330-54-1	XMTQQYYKAHVGBJ-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenylurea	Photosynthesis inhibition	Photosystem II inhibition	Photosystem II (Plastoquinone-binding protein)	Freshwater	M_T3	1	ngL	0.588215	Water
0017_Isoproturon	CASRN=34123-59-6	PUIYMUZLKQOUOZ-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenylurea	Photosynthesis inhibition	Photosystem II inhibition	Photosystem II	Freshwater	A_R3	0.5	ngL	0.385	Water
0017_Isoproturon	CASRN=34123-59-6	PUIYMUZLKQOUOZ-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenylurea	Photosynthesis inhibition	Photosystem II inhibition	Photosystem II	Freshwater	M_R1	0.5	ngL	5.655584	Water
0017_Isoproturon	CASRN=34123-59-6	PUIYMUZLKQOUOZ-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenylurea	Photosynthesis inhibition	Photosystem II inhibition	Photosystem II	Freshwater	M_T1	0.5	ngL	3.747891	Water
0024_Erythromycin	CASRN=114-07-8	ULGZDMOVFRHVEP-RWJQBGPGSA-N	LC-HRMS	pharmaceutical	antibiotic	macrolide	Antibiotic	Protein biosynthesis inhibition	23S ribosomal RNA of the 50S subunit of the bacterial ribosome	Freshwater	A_R3	5	ngL	95.909	Water
0028_Atenolol	CASRN=29122-68-7	METKIMKYRPQLGS-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antihypertensive	beta blocker	Cardiovascular system	Beta adrenergic receptor antagonist	Beta-1-adrenergic receptor	Freshwater	A_R2	1	ngL	9.596996	Water
0028_Atenolol	CASRN=29122-68-7	METKIMKYRPQLGS-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antihypertensive	beta blocker	Cardiovascular system	Beta adrenergic receptor antagonist	Beta-1-adrenergic receptor	Freshwater	M_R1	1	ngL	66.818589	Water
0028_Atenolol	CASRN=29122-68-7	METKIMKYRPQLGS-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antihypertensive	beta blocker	Cardiovascular system	Beta adrenergic receptor antagonist	Beta-1-adrenergic receptor	Freshwater	M_T1	1	ngL	322.870735	Water
0028_Atenolol	CASRN=29122-68-7	METKIMKYRPQLGS-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antihypertensive	beta blocker	Cardiovascular system	Beta adrenergic receptor antagonist	Beta-1-adrenergic receptor	Freshwater	M_T2	1	ngL	1.306876	Water
0030_Cyclophosphamide	CASRN=50-18-0	CMSMOCZEIVJLDB-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antineoplastic	alkylating agent	Nucleic acid damage	DNA cross-linking, DNA alkylation, Nucleotide mispairing induction	DNA	Freshwater	M_R1	1	ngL	2.878045	Water
0030_Cyclophosphamide	CASRN=50-18-0	CMSMOCZEIVJLDB-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antineoplastic	alkylating agent	Nucleic acid damage	DNA cross-linking, DNA alkylation, Nucleotide mispairing induction	DNA	Freshwater	M_T1	1	ngL	1.448704	Water
0033_Diazinon	CASRN=333-41-5	FHIVAFMUCKRCQO-UHFFFAOYSA-N	LC-HRMS	pesticide	insecticide	organophosphate	Neuromuscular system	AChE inhibition	Acetylcholinesterase (AChE)	Freshwater	A_R2	0.7	ngL	1.623391	Water
0033_Diazinon	CASRN=333-41-5	FHIVAFMUCKRCQO-UHFFFAOYSA-N	LC-HRMS	pesticide	insecticide	organophosphate	Neuromuscular system	AChE inhibition	Acetylcholinesterase (AChE)	Freshwater	M_R1	0.7	ngL	10.595897	Water
0033_Diazinon	CASRN=333-41-5	FHIVAFMUCKRCQO-UHFFFAOYSA-N	LC-HRMS	pesticide	insecticide	organophosphate	Neuromuscular system	AChE inhibition	Acetylcholinesterase (AChE)	Freshwater	M_T1	0.7	ngL	19.609784	Water
0034_Furosemide	CASRN=54-31-9	ZZUFCTLCJUWOSV-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	diuretic	sulfonamide	Cardiovascular system, Neuroactive	Sodium potassium chloride cotransporter inhibition, GABA(A) receptor inhibition	Sodium potassium chloride cotransporter (NKCC2), GABA(A) receptors	Freshwater	A_R2	1	ngL	24.65016	Water
0034_Furosemide	CASRN=54-31-9	ZZUFCTLCJUWOSV-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	diuretic	sulfonamide	Cardiovascular system, Neuroactive	Sodium potassium chloride cotransporter inhibition, GABA(A) receptor inhibition	Sodium potassium chloride cotransporter (NKCC2), GABA(A) receptors	Freshwater	M_R1	1	ngL	5.348356	Water
0034_Furosemide	CASRN=54-31-9	ZZUFCTLCJUWOSV-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	diuretic	sulfonamide	Cardiovascular system, Neuroactive	Sodium potassium chloride cotransporter inhibition, GABA(A) receptor inhibition	Sodium potassium chloride cotransporter (NKCC2), GABA(A) receptors	Freshwater	M_T1	1	ngL	200.648483	Water
0034_Furosemide	CASRN=54-31-9	ZZUFCTLCJUWOSV-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	diuretic	sulfonamide	Cardiovascular system, Neuroactive	Sodium potassium chloride cotransporter inhibition, GABA(A) receptor inhibition	Sodium potassium chloride cotransporter (NKCC2), GABA(A) receptors	Freshwater	M_T2	1	ngL	1.588391	Water
0036_Chlorotoluron	CASRN=15545-48-9	JXCGFZXSOMJFOA-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenylurea	Photosynthesis inhibition	Photosystem II inhibition	Photosystem II	Freshwater	A_R2	1	ngL	232.688503	Water
0040_Verapamil	CASRN=52-53-9	SGTNSNPWRIOYBX-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antihypertensive	Ca channel blocker	Cardiovascular system	Calcium channel blocker	Voltage-dependent calcium channels	Freshwater	A_R3	1	ngL	2.346	Water
0043_Myclobutanil	CASRN=88671-89-0	HZJKXKUJVSEEFU-UHFFFAOYSA-N	LC-HRMS	pesticide	fungicide	azole	Sterol biosynthesis inhibition	C14-demethylase inhibition	C14-demethylase (erg11/cyp51)	Freshwater	A_R2	0.7	ngL	1.112849	Water
0043_Myclobutanil	CASRN=88671-89-0	HZJKXKUJVSEEFU-UHFFFAOYSA-N	LC-HRMS	pesticide	fungicide	azole	Sterol biosynthesis inhibition	C14-demethylase inhibition	C14-demethylase (erg11/cyp51)	Freshwater	M_R1	0.7	ngL	3.046214	Water
0043_Myclobutanil	CASRN=88671-89-0	HZJKXKUJVSEEFU-UHFFFAOYSA-N	LC-HRMS	pesticide	fungicide	azole	Sterol biosynthesis inhibition	C14-demethylase inhibition	C14-demethylase (erg11/cyp51)	Freshwater	M_T1	0.7	ngL	2.932711	Water
0043_Myclobutanil	CASRN=88671-89-0	HZJKXKUJVSEEFU-UHFFFAOYSA-N	LC-HRMS	pesticide	fungicide	azole	Sterol biosynthesis inhibition	C14-demethylase inhibition	C14-demethylase (erg11/cyp51)	Freshwater	M_T2	0.7	ngL	0.663283	Water
0045_Iminostilbene	CASRN=256-96-2	LCGTWRLJTMHIQZ-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antiepileptic	carboxamide	unknown	n/a	n/a	Freshwater	M_T1	0.7	ngL	1.929733	Water
0046_2-Aminobenzimidazole	CASRN=934-32-7	JWYUFVNJZUSCSM-UHFFFAOYSA-N	LC-HRMS	pesticide	fungicide	benzimidazole	unknown	n/a	n/a	Freshwater	A_R2	1	ngL	3.871286	Water
0046_2-Aminobenzimidazole	CASRN=934-32-7	JWYUFVNJZUSCSM-UHFFFAOYSA-N	LC-HRMS	pesticide	fungicide	benzimidazole	unknown	n/a	n/a	Freshwater	M_R1	1	ngL	17.931614	Water
0046_2-Aminobenzimidazole	CASRN=934-32-7	JWYUFVNJZUSCSM-UHFFFAOYSA-N	LC-HRMS	pesticide	fungicide	benzimidazole	unknown	n/a	n/a	Freshwater	M_T1	1	ngL	15.159489	Water
0047_Isophorone diamine	CASRN=2855-13-2	RNLHGQLZWXBQNY-UHFFFAOYSA-N	LC-HRMS	intermediate	intermediate	isophorone	unknown	n/a	n/a	Freshwater	A_R1	20	ngL	380.869579	Water
0047_Isophorone diamine	CASRN=2855-13-2	RNLHGQLZWXBQNY-UHFFFAOYSA-N	LC-HRMS	intermediate	intermediate	isophorone	unknown	n/a	n/a	Freshwater	A_R2	20	ngL	15.821433	Water
0047_Isophorone diamine	CASRN=2855-13-2	RNLHGQLZWXBQNY-UHFFFAOYSA-N	LC-HRMS	intermediate	intermediate	isophorone	unknown	n/a	n/a	Freshwater	M_T1	20	ngL	81.416289	Water
0052_N,N-Dimethyldodecylamine N-oxide	CASRN=1643-20-5	SYELZBGXAIXKHU-UHFFFAOYSA-N	LC-HRMS	personal care and household	surfactant	nonionic surfactant	unknown	n/a	n/a	Freshwater	A_R3	1	ngL	4.467	Water
0055_Triethylcitrate	CASRN=77-93-0	DOOTYTYQINUNNV-UHFFFAOYSA-N	LC-HRMS	polymer additive	plasticizer	polyacid ester	unknown	n/a	n/a	Freshwater	A_R3	5	ngL	8.436	Water
0056_Piperonyl butoxide	CASRN=51-03-6	FIPWRIJSWJWJAI-UHFFFAOYSA-N	LC-HRMS	pesticide	insecticide	synergist	Metabolic system	Cytochrome P450-dependent monooxygenase inhibition	Cytochrome P450-dependent monooxygenase	Freshwater	A_R3	5	ngL	0.365	Water
0056_Piperonyl butoxide	CASRN=51-03-6	FIPWRIJSWJWJAI-UHFFFAOYSA-N	LC-HRMS	pesticide	insecticide	synergist	Metabolic system	Cytochrome P450-dependent monooxygenase inhibition	Cytochrome P450-dependent monooxygenase	Freshwater	M_R1	5	ngL	2.46353	Water
0056_Piperonyl butoxide	CASRN=51-03-6	FIPWRIJSWJWJAI-UHFFFAOYSA-N	LC-HRMS	pesticide	insecticide	synergist	Metabolic system	Cytochrome P450-dependent monooxygenase inhibition	Cytochrome P450-dependent monooxygenase	Freshwater	M_T1	5	ngL	12156.514371	Water
0061_Imazalil	CASRN=35554-44-0	PZBPKYOVPCNPJY-UHFFFAOYSA-N	LC-HRMS	pesticide	fungicide	imidazole	Sterol biosynthesis inhibition	C14-demethylase inhibition	C14-demethylase (erg11/cyp51)	Freshwater	A_R2	1	ngL	272203.437395	Water
0061_Imazalil	CASRN=35554-44-0	PZBPKYOVPCNPJY-UHFFFAOYSA-N	LC-HRMS	pesticide	fungicide	imidazole	Sterol biosynthesis inhibition	C14-demethylase inhibition	C14-demethylase (erg11/cyp51)	Freshwater	M_R1	1	ngL	28.407617	Water
0061_Imazalil	CASRN=35554-44-0	PZBPKYOVPCNPJY-UHFFFAOYSA-N	LC-HRMS	pesticide	fungicide	imidazole	Sterol biosynthesis inhibition	C14-demethylase inhibition	C14-demethylase (erg11/cyp51)	Freshwater	M_T1	1	ngL	17.59528	Water
0062_Fipronil	CASRN=120068-37-3	ZOCSXAVNDGMNBV-UHFFFAOYSA-N	LC-HRMS	pesticide	insecticide	phenylpyrazole	Neuroactive	GABA-gated chloride channel antagonist, GluCl channel antagonist	GABA(A) receptor, Glutamate-gated chloride (GluCl) receptor	Freshwater	M_R1	0.5	ngL	0.848795	Water
0062_Fipronil	CASRN=120068-37-3	ZOCSXAVNDGMNBV-UHFFFAOYSA-N	LC-HRMS	pesticide	insecticide	phenylpyrazole	Neuroactive	GABA-gated chloride channel antagonist, GluCl channel antagonist	GABA(A) receptor, Glutamate-gated chloride (GluCl) receptor	Freshwater	M_T1	0.5	ngL	4.696891	Water
0063_Diflufenican	CASRN=83164-33-4	WYEHFWKAOXOVJD-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenyl ether	Carotenoid biosynthesis inhibition	Phytoene desaturase inhibition	Phytoene desaturase	Freshwater	A_R1	10	ngL	20.369335	Water
0063_Diflufenican	CASRN=83164-33-4	WYEHFWKAOXOVJD-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenyl ether	Carotenoid biosynthesis inhibition	Phytoene desaturase inhibition	Phytoene desaturase	Freshwater	A_R2	10	ngL	4.241435	Water
0063_Diflufenican	CASRN=83164-33-4	WYEHFWKAOXOVJD-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenyl ether	Carotenoid biosynthesis inhibition	Phytoene desaturase inhibition	Phytoene desaturase	Freshwater	A_RS1	10	ngL	3.391987	Water
0063_Diflufenican	CASRN=83164-33-4	WYEHFWKAOXOVJD-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenyl ether	Carotenoid biosynthesis inhibition	Phytoene desaturase inhibition	Phytoene desaturase	Freshwater	A_RS2	10	ngL	9.086113	Water
0063_Diflufenican	CASRN=83164-33-4	WYEHFWKAOXOVJD-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenyl ether	Carotenoid biosynthesis inhibition	Phytoene desaturase inhibition	Phytoene desaturase	Freshwater	M_R1	10	ngL	3.581987	Water
0063_Diflufenican	CASRN=83164-33-4	WYEHFWKAOXOVJD-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenyl ether	Carotenoid biosynthesis inhibition	Phytoene desaturase inhibition	Phytoene desaturase	Freshwater	M_RS1	10	ngL	3.69607	Water
0063_Diflufenican	CASRN=83164-33-4	WYEHFWKAOXOVJD-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenyl ether	Carotenoid biosynthesis inhibition	Phytoene desaturase inhibition	Phytoene desaturase	Freshwater	M_T2	10	ngL	31.33687	Water
0063_Diflufenican	CASRN=83164-33-4	WYEHFWKAOXOVJD-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	phenyl ether	Carotenoid biosynthesis inhibition	Phytoene desaturase inhibition	Phytoene desaturase	Freshwater	M_T3	10	ngL	14.603753	Water
0065_Trifloxystrobin	CASRN=141517-21-7	ONCZDRURRATYFI-TVJDWZFNSA-N	LC-HRMS	pesticide	fungicide	strobilurine	Respiratory system	Coenzyme Q inhibition	Mitochondrial complex III (Quinol outer binding site of Coenzyme Q (cyt b gene))	Freshwater	M_R1	2	ngL	0.451669	Water
0070_4-Aminobenzamide	CASRN=2835-68-9	QIKYZXDTTPVVAC-UHFFFAOYSA-N	LC-HRMS	intermediate	intermediate	aromatic amine	Cell and DNA protection	PARP modulator	Poly(ADP-Ribose) polymerase (PARP)	Freshwater	A_R3	20	ngL	0.029	Water
0073_2-Methylbenzothiazole	CASRN=120-75-2	DXYYSGDWQCSKKO-UHFFFAOYSA-N	LC-HRMS	intermediate	intermediate	benzothiazole	unknown	n/a	n/a	Freshwater	A_R2	1	ngL	0.494375	Water
0073_2-Methylbenzothiazole	CASRN=120-75-2	DXYYSGDWQCSKKO-UHFFFAOYSA-N	LC-HRMS	intermediate	intermediate	benzothiazole	unknown	n/a	n/a	Freshwater	M_R1	1	ngL	2.567276	Water
0073_2-Methylbenzothiazole	CASRN=120-75-2	DXYYSGDWQCSKKO-UHFFFAOYSA-N	LC-HRMS	intermediate	intermediate	benzothiazole	unknown	n/a	n/a	Freshwater	M_T1	1	ngL	6.697353	Water
0074_N-Acetyl-4-aminoantipyrine	CASRN=83-15-8	OIAGWXKSCXPNNZ-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	analgesic	pyrazolone analgesic	unknown	n/a	n/a	Freshwater	A_R3	25	ngL	0.139	Water
0075_4-Aminoantipyrine	CASRN=83-07-8	RLFWWDJHLFCNIJ-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	analgesic	pyrazolone analgesic	unknown	n/a	n/a	Freshwater	A_R1	18	ngL	1.035002	Water
0075_4-Aminoantipyrine	CASRN=83-07-8	RLFWWDJHLFCNIJ-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	analgesic	pyrazolone analgesic	unknown	n/a	n/a	Freshwater	A_R2	18	ngL	91.658381	Water
0075_4-Aminoantipyrine	CASRN=83-07-8	RLFWWDJHLFCNIJ-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	analgesic	pyrazolone analgesic	unknown	n/a	n/a	Freshwater	M_R1	18	ngL	79.907644	Water
0075_4-Aminoantipyrine	CASRN=83-07-8	RLFWWDJHLFCNIJ-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	analgesic	pyrazolone analgesic	unknown	n/a	n/a	Freshwater	M_RS1	18	ngL	0.983329	Water
0075_4-Aminoantipyrine	CASRN=83-07-8	RLFWWDJHLFCNIJ-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	analgesic	pyrazolone analgesic	unknown	n/a	n/a	Freshwater	M_T1	18	ngL	143.540219	Water
0075_4-Aminoantipyrine	CASRN=83-07-8	RLFWWDJHLFCNIJ-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	analgesic	pyrazolone analgesic	unknown	n/a	n/a	Freshwater	M_T2	18	ngL	1.207588	Water
0075_4-Aminoantipyrine	CASRN=83-07-8	RLFWWDJHLFCNIJ-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	analgesic	pyrazolone analgesic	unknown	n/a	n/a	Freshwater	M_T3	18	ngL	0.645291	Water
0078_Benzyl-2-naphthylether	CASRN=613-62-7	WLTCCDHHWYAMCG-UHFFFAOYSA-N	GC-HRMS	additive	paper/printing chemical	sensitizer	unknown	n/a	n/a	Freshwater	A_R2	0.5	ngL	14.315	Water
0079_Ethylene glycol diphenylether	CASRN=104-66-5	XCSGHNKDXGYELG-UHFFFAOYSA-N	GC-HRMS	additive	paper/printing chemical	sensitizer	unknown	n/a	n/a	Freshwater	A_R1	0.5	ngL	14.038	Water
0079_Ethylene glycol diphenylether	CASRN=104-66-5	XCSGHNKDXGYELG-UHFFFAOYSA-N	GC-HRMS	additive	paper/printing chemical	sensitizer	unknown	n/a	n/a	Freshwater	A_R2	0.5	ngL	15.659	Water
0079_Ethylene glycol diphenylether	CASRN=104-66-5	XCSGHNKDXGYELG-UHFFFAOYSA-N	GC-HRMS	additive	paper/printing chemical	sensitizer	unknown	n/a	n/a	Freshwater	A_RS1	0.5	ngL	16.409	Water
0079_Ethylene glycol diphenylether	CASRN=104-66-5	XCSGHNKDXGYELG-UHFFFAOYSA-N	GC-HRMS	additive	paper/printing chemical	sensitizer	unknown	n/a	n/a	Freshwater	A_RS2	0.5	ngL	13.953	Water
0079_Ethylene glycol diphenylether	CASRN=104-66-5	XCSGHNKDXGYELG-UHFFFAOYSA-N	GC-HRMS	additive	paper/printing chemical	sensitizer	unknown	n/a	n/a	Freshwater	M_R1	0.5	ngL	7.409	Water
0079_Ethylene glycol diphenylether	CASRN=104-66-5	XCSGHNKDXGYELG-UHFFFAOYSA-N	GC-HRMS	additive	paper/printing chemical	sensitizer	unknown	n/a	n/a	Freshwater	M_RS1	0.5	ngL	6.9	Water
0079_Ethylene glycol diphenylether	CASRN=104-66-5	XCSGHNKDXGYELG-UHFFFAOYSA-N	GC-HRMS	additive	paper/printing chemical	sensitizer	unknown	n/a	n/a	Freshwater	M_T2	0.5	ngL	23.269	Water
